t0,0,0,0,0,0,0,1,0,0,Execution Time
t1,0,0,0,0,0,0,1,0,0,2
t2,0,0,0,0,0,0,1,0,0,10
t3,0,0,0,0,0,0,1,0,0,9
t4,0,0,0,0,0,0,1,0,0,2
t5,0,0,0,0,0,0,1,0,0,4
t6,0,0,0,0,0,0,1,0,0,2
t7,0,0,0,0,0,0,1,0,0,10
t8,0,0,0,0,0,0,1,0,0,7
t9,0,0,0,0,0,0,1,0,0,7
t10,0,0,0,0,0,0,1,0,0,5
t11,0,0,0,0,0,0,1,0,0,4
t12,0,0,0,0,0,0,1,0,0,6
t13,0,0,0,0,0,0,1,0,0,4
t14,0,0,0,0,0,0,1,0,0,7
t15,0,0,0,0,0,0,1,0,0,1
t16,0,0,0,0,0,0,1,0,0,4
t17,0,0,0,0,0,0,1,0,0,10
t18,0,0,0,0,0,0,1,0,0,9
t19,0,0,0,0,0,0,1,0,0,9
t20,0,0,0,0,0,0,1,0,0,4
t21,0,0,0,0,0,0,1,0,0,7
t22,0,0,0,0,0,0,1,0,0,10
t23,0,0,0,0,0,0,1,0,0,10
t24,0,0,0,0,0,0,1,0,0,1
t25,0,0,0,0,0,0,1,0,0,10
t26,0,0,0,0,0,0,1,0,0,7
t27,0,0,0,0,0,0,1,0,0,6
t28,0,0,0,0,0,0,1,0,0,4
t29,0,0,0,0,0,0,1,0,0,9
t30,1,0,0,0,0,0,1,0,0,8
t31,1,0,0,0,0,0,1,0,0,4
t32,0,0,0,0,0,0,1,0,0,3
t33,0,0,0,0,0,0,1,0,0,5
t34,0,0,0,0,0,0,1,0,0,9
t35,1,1,0,1,0,1,1,1,0,2
t36,0,0,0,1,0,0,1,0,0,2
t37,1,1,0,1,0,1,1,1,0,5
t38,0,0,0,1,0,0,1,0,0,9
t39,0,0,0,0,0,0,1,0,0,8
t40,0,0,0,0,0,0,1,0,0,8
t41,0,0,0,0,0,0,1,0,0,4
t42,1,1,0,1,0,1,1,1,0,8
t43,0,0,0,1,0,0,1,0,0,5
t44,1,1,0,1,0,1,1,1,0,1
t45,0,0,0,1,0,0,1,0,0,9
